"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_nonlin_channel
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 0, 1)",1.0266769088692234
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 0, 2)",1.0264201644863502
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 1, 0)",1.0252260222475842
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 1, 1)",1.0114886459425871
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 1, 2)",1.0227746306359973
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 2, 0)",1.0103165423834792
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 2, 1)",1.0393218143348946
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 2, 2)",1.0114290103879962
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 0, 0)",1.0294869189620448
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 0, 1)",1.009161886029584
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 0, 2)",1.0339059512586009
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 1, 0)",1.0173782610421351
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 1, 1)",1.013555107357488
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 1, 2)",1.02135401101275
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 2, 0)",1.030483702500462
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 2, 1)",1.03207936745643
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 2, 2)",1.0319624522987425
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1, 0, 0)",1.022595761417136
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1, 0, 1)",1.0278198547280206
